PersonType,UserPrincipalName,Mail,Alias,FirstName,LastName,DisplayName,Gender,JobTitle,Department,OfficeLocation,CompanyName,StreetAddress,City,StateOrProvince,PostalCode,Country,OfficePhone,MobilePhone,ManagerUPN,UsageLocation,LicensePlan,PrimaryGroup,SecurityGroup,SharedMailboxAccess,MFARequired,AccountEnabled,Notes
Staff,owner@sammedsynlab.com,owner@sammedsynlab.com,owner,Sam,Parsakian,Sam Parsakian,Male,Managing Director,MgmtAdmin,SMLC-HQ,Sam Medsyn Lab Company AB,Järlastigen 4,Nacka,Stockholm County,131 34,Sweden,+46 8 555 101 112,+46 70 201 1001,,SE,Microsoft 365 Business Basic,SMLC-MgmtAdmin,SG-SMLC-HQ-Staff,info@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,operations.manager@sammedsynlab.com,operations.manager@sammedsynlab.com,operations.manager,Elin,Bergström,Elin Bergström,Female,Operations Manager,MgmtAdmin,SMLC-HQ,Sam Medsyn Lab Company AB,Sickla Allé 22,Nacka,Stockholm County,131 52,Sweden,+46 8 555 102 113,+46 70 202 1002,owner@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-MgmtAdmin,SG-SMLC-HQ-Staff,info@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,admin.one@sammedsynlab.com,admin.one@sammedsynlab.com,admin.one,Maja,Lindgren,Maja Lindgren,Female,Office Administrator,MgmtAdmin,SMLC-HQ,Sam Medsyn Lab Company AB,Nacka Strand 15,Nacka,Stockholm County,131 32,Sweden,+46 8 555 103 114,+46 70 203 1003,operations.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-MgmtAdmin,SG-SMLC-HQ-Staff,info@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,admin.two@sammedsynlab.com,admin.two@sammedsynlab.com,admin.two,Oskar,Nyström,Oskar Nyström,Male,Office Administrator,MgmtAdmin,SMLC-HQ,Sam Medsyn Lab Company AB,Forumvägen 8,Nacka,Stockholm County,131 40,Sweden,+46 8 555 104 115,+46 70 204 1004,operations.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-MgmtAdmin,SG-SMLC-HQ-Staff,info@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,hr.one@sammedsynlab.com,hr.one@sammedsynlab.com,hr.one,Sara,Johansson,Sara Johansson,Female,HR Coordinator,MgmtAdmin,SMLC-HQ,Sam Medsyn Lab Company AB,Värmdövägen 84,Nacka,Stockholm County,131 47,Sweden,+46 8 555 105 116,+46 70 205 1005,operations.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-MgmtAdmin,SG-SMLC-HR-Private,hr@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,hr.two@sammedsynlab.com,hr.two@sammedsynlab.com,hr.two,Nora,Håkansson,Nora Håkansson,Female,HR Coordinator,MgmtAdmin,SMLC-HQ,Sam Medsyn Lab Company AB,Kvarnholmsvägen 31,Nacka,Stockholm County,131 31,Sweden,+46 8 555 106 117,+46 70 206 1006,operations.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-MgmtAdmin,SG-SMLC-HR-Private,hr@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,executive.assistant@sammedsynlab.com,executive.assistant@sammedsynlab.com,executive.assistant,Leo,Andersson,Leo Andersson,Male,Executive Assistant,MgmtAdmin,SMLC-HQ,Sam Medsyn Lab Company AB,Ektorpsvägen 6,Nacka,Stockholm County,131 45,Sweden,+46 8 555 107 118,+46 70 207 1007,operations.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-MgmtAdmin,SG-SMLC-HQ-Staff,info@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,finance.manager@sammedsynlab.com,finance.manager@sammedsynlab.com,finance.manager,Karin,Sjöberg,Karin Sjöberg,Female,Finance Manager,Finance,SMLC-HQ,Sam Medsyn Lab Company AB,Saltsjöqvarns Kaj 11,Nacka,Stockholm County,131 71,Sweden,+46 8 555 108 119,+46 70 208 1008,owner@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-Finance,SG-SMLC-Finance-Private,finance@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,accountant@sammedsynlab.com,accountant@sammedsynlab.com,accountant,Viktor,Lund,Viktor Lund,Male,Accountant,Finance,SMLC-HQ,Sam Medsyn Lab Company AB,Planiavägen 3,Nacka,Stockholm County,131 50,Sweden,+46 8 555 109 120,+46 70 209 1009,finance.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-Finance,SG-SMLC-Finance-Private,finance@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,finance.assistant@sammedsynlab.com,finance.assistant@sammedsynlab.com,finance.assistant,Amira,Hassan,Amira Hassan,Female,Finance Assistant,Finance,SMLC-HQ,Sam Medsyn Lab Company AB,Radiovägen 12,Nacka,Stockholm County,131 54,Sweden,+46 8 555 110 121,+46 70 210 1010,finance.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-Finance,SG-SMLC-Finance-Private,finance@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,it.manager@sammedsynlab.com,it.manager@sammedsynlab.com,it.manager,Daniel,Ekström,Daniel Ekström,Male,IT Manager,ITInfra,SMLC-HQ,Sam Medsyn Lab Company AB,Järlastigen 4,Nacka,Stockholm County,131 34,Sweden,+46 8 555 111 122,+46 70 211 1011,owner@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-ITInfra,SG-SMLC-HQ-Staff,itsupport@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,netadmin01@sammedsynlab.com,netadmin01@sammedsynlab.com,netadmin01,Jonas,Wikström,Jonas Wikström,Male,Network Administrator,ITInfra,SMLC-HQ,Sam Medsyn Lab Company AB,Sickla Allé 22,Nacka,Stockholm County,131 52,Sweden,+46 8 555 112 123,+46 70 212 1012,it.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-ITInfra,SG-SMLC-HQ-Staff,itsupport@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,netadmin02@sammedsynlab.com,netadmin02@sammedsynlab.com,netadmin02,Fatima,Ali,Fatima Ali,Female,Network Administrator,ITInfra,SMLC-HQ,Sam Medsyn Lab Company AB,Nacka Strand 15,Nacka,Stockholm County,131 32,Sweden,+46 8 555 113 124,+46 70 213 1013,it.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-ITInfra,SG-SMLC-HQ-Staff,itsupport@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,sysadmin01@sammedsynlab.com,sysadmin01@sammedsynlab.com,sysadmin01,Henrik,Larsson,Henrik Larsson,Male,Systems Administrator,ITInfra,SMLC-HQ,Sam Medsyn Lab Company AB,Forumvägen 8,Nacka,Stockholm County,131 40,Sweden,+46 8 555 114 125,+46 70 214 1014,it.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-ITInfra,SG-SMLC-HQ-Staff,itsupport@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,sysadmin02@sammedsynlab.com,sysadmin02@sammedsynlab.com,sysadmin02,Linnea,Nilsson,Linnea Nilsson,Female,Systems Administrator,ITInfra,SMLC-HQ,Sam Medsyn Lab Company AB,Värmdövägen 84,Nacka,Stockholm County,131 47,Sweden,+46 8 555 115 126,+46 70 215 1015,it.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-ITInfra,SG-SMLC-HQ-Staff,itsupport@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,security.admin@sammedsynlab.com,security.admin@sammedsynlab.com,security.admin,Erik,Forsberg,Erik Forsberg,Male,Security Administrator,ITInfra,SMLC-HQ,Sam Medsyn Lab Company AB,Kvarnholmsvägen 31,Nacka,Stockholm County,131 31,Sweden,+46 8 555 116 127,+46 70 216 1016,it.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-ITInfra,SG-SMLC-HQ-Staff,itsupport@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,sales.manager@sammedsynlab.com,sales.manager@sammedsynlab.com,sales.manager,Isabella,Karlsson,Isabella Karlsson,Female,Sales Manager,BizOps,SMLC-HQ,Sam Medsyn Lab Company AB,Ektorpsvägen 6,Nacka,Stockholm County,131 45,Sweden,+46 8 555 117 128,+46 70 217 1017,owner@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-BizOps,SG-SMLC-HQ-Staff,sales@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,sales.one@sammedsynlab.com,sales.one@sammedsynlab.com,sales.one,Noah,Pettersson,Noah Pettersson,Male,Sales Executive,BizOps,SMLC-HQ,Sam Medsyn Lab Company AB,Saltsjöqvarns Kaj 11,Nacka,Stockholm County,131 71,Sweden,+46 8 555 118 129,+46 70 218 1018,sales.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-BizOps,SG-SMLC-HQ-Staff,sales@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,sales.two@sammedsynlab.com,sales.two@sammedsynlab.com,sales.two,Clara,Holm,Clara Holm,Female,Sales Executive,BizOps,SMLC-HQ,Sam Medsyn Lab Company AB,Planiavägen 3,Nacka,Stockholm County,131 50,Sweden,+46 8 555 119 130,+46 70 219 1019,sales.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-BizOps,SG-SMLC-HQ-Staff,sales@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,marketing.one@sammedsynlab.com,marketing.one@sammedsynlab.com,marketing.one,Emil,Sandberg,Emil Sandberg,Male,Marketing Coordinator,BizOps,SMLC-HQ,Sam Medsyn Lab Company AB,Radiovägen 12,Nacka,Stockholm County,131 54,Sweden,+46 8 555 120 131,+46 70 220 1020,sales.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-BizOps,SG-SMLC-HQ-Staff,sales@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,customer.service.one@sammedsynlab.com,customer.service.one@sammedsynlab.com,customer.service.one,Sofia,Björk,Sofia Björk,Female,Customer Service Representative,BizOps,SMLC-HQ,Sam Medsyn Lab Company AB,Järlastigen 4,Nacka,Stockholm County,131 34,Sweden,+46 8 555 121 132,+46 70 221 1021,sales.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-BizOps,SG-SMLC-HQ-Staff,sales@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,techops.manager@sammedsynlab.com,techops.manager@sammedsynlab.com,techops.manager,Anton,Lindholm,Anton Lindholm,Male,Technical Operations Manager,TechOps,SMLC-HQ,Sam Medsyn Lab Company AB,Sickla Allé 22,Nacka,Stockholm County,131 52,Sweden,+46 8 555 122 133,+46 70 222 1022,owner@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-TechOps,SG-SMLC-HQ-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
