"UserPrincipalName","ForwardingSmtpAddress","ForwardingAddress","DeliverToMailboxAndForward"
"finance.assistant@samstack.onmicrosoft.com",,,"False"
"anna.sjostrom@samstack.onmicrosoft.com",,,"False"
"it.manager@samstack.onmicrosoft.com",,,"False"
"DiscoverySearchMailbox{D919BA05-46A6-415f-80AD-7E09334BB852}@samstack.onmicrosoft.com",,,"False"
"operations.manager@samstack.onmicrosoft.com",,,"False"
"security.admin@samstack.onmicrosoft.com",,,"False"
"eva.lindstrom@samstack.onmicrosoft.com",,,"False"
"netadmin02@samstack.onmicrosoft.com",,,"False"
"info@samstack.onmicrosoft.com",,,"False"
"sysadmin01@samstack.onmicrosoft.com",,,"False"
"ingrid.pettersson@samstack.onmicrosoft.com",,,"False"
"itsupport@samstack.onmicrosoft.com",,,"False"
"johan.norberg@samstack.onmicrosoft.com",,,"False"
"netadmin01@samstack.onmicrosoft.com",,,"False"
"karin.berg@samstack.onmicrosoft.com",,,"False"
"finance.manager@samstack.onmicrosoft.com",,,"False"
"lars.andersson@samstack.onmicrosoft.com",,,"False"
"executive.assistant@samstack.onmicrosoft.com",,,"False"
"sysadmin02@samstack.onmicrosoft.com",,,"False"
"admin.one@samstack.onmicrosoft.com",,,"False"
"mats.eriksson@samstack.onmicrosoft.com",,,"False"
"noreply@samstack.onmicrosoft.com",,,"False"
"hr.two@samstack.onmicrosoft.com",,,"False"
"admin.two@samstack.onmicrosoft.com",,,"False"
"per.nilsson@samstack.onmicrosoft.com",,,"False"
"owner@samstack.onmicrosoft.com",,,"False"
"SamuelParsakian@samstack.onmicrosoft.com",,,"False"
"hr.one@samstack.onmicrosoft.com",,,"False"
"security@samstack.onmicrosoft.com",,,"False"
"finance@samstack.onmicrosoft.com",,,"False"
"helpdesk@samstack.onmicrosoft.com",,,"False"
"hr@samstack.onmicrosoft.com",,,"False"
"sales@samstack.onmicrosoft.com",,,"False"
"support@samstack.onmicrosoft.com",,,"False"
"accountant@samstack.onmicrosoft.com",,,"False"
