"Group","MemberCount","Members","Status","Error"
"SMLC - Finance","3","finance.manager@samstack.onmicrosoft.com;accountant@samstack.onmicrosoft.com;finance.assistant@samstack.onmicrosoft.com","Confirmed",""
"SMLC - Knowledge Base","49","SamuelParsakian@samstack.onmicrosoft.com;owner@samstack.onmicrosoft.com;operations.manager@samstack.onmicrosoft.com;admin.one@samstack.onmicrosoft.com;admin.two@samstack.onmicrosoft.com;hr.one@samstack.onmicrosoft.com;hr.two@samstack.onmicrosoft.com;executive.assistant@samstack.onmicrosoft.com;finance.manager@samstack.onmicrosoft.com;accountant@samstack.onmicrosoft.com;finance.assistant@samstack.onmicrosoft.com;it.manager@samstack.onmicrosoft.com;netadmin01@samstack.onmicrosoft.com;netadmin02@samstack.onmicrosoft.com;sysadmin01@samstack.onmicrosoft.com;sysadmin02@samstack.onmicrosoft.com;security.admin@samstack.onmicrosoft.com;sales.manager@samstack.onmicrosoft.com;sales.one@samstack.onmicrosoft.com;sales.two@samstack.onmicrosoft.com;marketing.one@samstack.onmicrosoft.com;customer.service.one@samstack.onmicrosoft.com;techops.manager@samstack.onmicrosoft.com;software.support01@samstack.onmicrosoft.com;software.support02@samstack.onmicrosoft.com;software.support03@samstack.onmicrosoft.com;software.support04@samstack.onmicrosoft.com;software.support05@samstack.onmicrosoft.com;software.support06@samstack.onmicrosoft.com;software.support07@samstack.onmicrosoft.com;software.support08@samstack.onmicrosoft.com;field.engineer01@samstack.onmicrosoft.com;field.engineer02@samstack.onmicrosoft.com;field.engineer03@samstack.onmicrosoft.com;field.engineer04@samstack.onmicrosoft.com;helpdesk01@samstack.onmicrosoft.com;helpdesk02@samstack.onmicrosoft.com;helpdesk03@samstack.onmicrosoft.com;br.techops01@samstack.onmicrosoft.com;br.techops02@samstack.onmicrosoft.com;br.techops03@samstack.onmicrosoft.com;br.fieldops01@samstack.onmicrosoft.com;br.fieldops02@samstack.onmicrosoft.com;br.fieldops03@samstack.onmicrosoft.com;br.fieldops04@samstack.onmicrosoft.com;br.bizops01@samstack.onmicrosoft.com;br.bizops02@samstack.onmicrosoft.com;br.support01@samstack.onmicrosoft.com;br.support02@samstack.onmicrosoft.com","Confirmed",""
"SMLC - MgmtAdmin","7","owner@samstack.onmicrosoft.com;operations.manager@samstack.onmicrosoft.com;admin.one@samstack.onmicrosoft.com;admin.two@samstack.onmicrosoft.com;hr.one@samstack.onmicrosoft.com;hr.two@samstack.onmicrosoft.com;executive.assistant@samstack.onmicrosoft.com","Confirmed",""
"SMLC - ITInfra","6","it.manager@samstack.onmicrosoft.com;netadmin01@samstack.onmicrosoft.com;netadmin02@samstack.onmicrosoft.com;sysadmin01@samstack.onmicrosoft.com;sysadmin02@samstack.onmicrosoft.com;security.admin@samstack.onmicrosoft.com","Confirmed",""
"SMLC - BizOps","7","sales.manager@samstack.onmicrosoft.com;sales.one@samstack.onmicrosoft.com;sales.two@samstack.onmicrosoft.com;marketing.one@samstack.onmicrosoft.com;customer.service.one@samstack.onmicrosoft.com;br.bizops01@samstack.onmicrosoft.com;br.bizops02@samstack.onmicrosoft.com","Confirmed",""
"SMLC - TechOps","25","techops.manager@samstack.onmicrosoft.com;software.support01@samstack.onmicrosoft.com;software.support02@samstack.onmicrosoft.com;software.support03@samstack.onmicrosoft.com;software.support04@samstack.onmicrosoft.com;software.support05@samstack.onmicrosoft.com;software.support06@samstack.onmicrosoft.com;software.support07@samstack.onmicrosoft.com;software.support08@samstack.onmicrosoft.com;field.engineer01@samstack.onmicrosoft.com;field.engineer02@samstack.onmicrosoft.com;field.engineer03@samstack.onmicrosoft.com;field.engineer04@samstack.onmicrosoft.com;helpdesk01@samstack.onmicrosoft.com;helpdesk02@samstack.onmicrosoft.com;helpdesk03@samstack.onmicrosoft.com;br.techops01@samstack.onmicrosoft.com;br.techops02@samstack.onmicrosoft.com;br.techops03@samstack.onmicrosoft.com;br.fieldops01@samstack.onmicrosoft.com;br.fieldops02@samstack.onmicrosoft.com;br.fieldops03@samstack.onmicrosoft.com;br.fieldops04@samstack.onmicrosoft.com;br.support01@samstack.onmicrosoft.com;br.support02@samstack.onmicrosoft.com","Confirmed",""
"SG-SMLC-Finance-Private","3","finance.manager@samstack.onmicrosoft.com;accountant@samstack.onmicrosoft.com;finance.assistant@samstack.onmicrosoft.com","Confirmed",""
"SG-SMLC-HR-Private","2","hr.one@samstack.onmicrosoft.com;hr.two@samstack.onmicrosoft.com","Confirmed",""
"SG-SMLC-ITInfra-Private","6","it.manager@samstack.onmicrosoft.com;netadmin01@samstack.onmicrosoft.com;netadmin02@samstack.onmicrosoft.com;sysadmin01@samstack.onmicrosoft.com;sysadmin02@samstack.onmicrosoft.com;security.admin@samstack.onmicrosoft.com","Confirmed",""
"SG-SMLC-TechOps-Tools","21","techops.manager@samstack.onmicrosoft.com;software.support01@samstack.onmicrosoft.com;software.support02@samstack.onmicrosoft.com;software.support03@samstack.onmicrosoft.com;software.support04@samstack.onmicrosoft.com;software.support05@samstack.onmicrosoft.com;software.support06@samstack.onmicrosoft.com;software.support07@samstack.onmicrosoft.com;software.support08@samstack.onmicrosoft.com;field.engineer01@samstack.onmicrosoft.com;field.engineer02@samstack.onmicrosoft.com;field.engineer03@samstack.onmicrosoft.com;field.engineer04@samstack.onmicrosoft.com;helpdesk01@samstack.onmicrosoft.com;helpdesk02@samstack.onmicrosoft.com;helpdesk03@samstack.onmicrosoft.com;br.techops01@samstack.onmicrosoft.com;br.techops02@samstack.onmicrosoft.com;br.techops03@samstack.onmicrosoft.com;br.support01@samstack.onmicrosoft.com;br.support02@samstack.onmicrosoft.com","Confirmed",""
