"Alias","UserPrincipalName","DisplayName","AccountType","Department","OfficeLocation","Licensed","Status","Error"
"owner","owner@samstack.onmicrosoft.com","Sam Parsakian","Staff","MgmtAdmin","SMLC-HQ","True","Created",""
"operations.manager","operations.manager@samstack.onmicrosoft.com","Elin Bergström","Staff","MgmtAdmin","SMLC-HQ","True","Created",""
"admin.one","admin.one@samstack.onmicrosoft.com","Maja Lindgren","Staff","MgmtAdmin","SMLC-HQ","True","Created",""
"admin.two","admin.two@samstack.onmicrosoft.com","Oskar Nyström","Staff","MgmtAdmin","SMLC-HQ","True","Created",""
"hr.one","hr.one@samstack.onmicrosoft.com","Sara Johansson","Staff","MgmtAdmin","SMLC-HQ","True","Created",""
"hr.two","hr.two@samstack.onmicrosoft.com","Nora Håkansson","Staff","MgmtAdmin","SMLC-HQ","True","Created",""
"executive.assistant","executive.assistant@samstack.onmicrosoft.com","Leo Andersson","Staff","MgmtAdmin","SMLC-HQ","True","Created",""
"finance.manager","finance.manager@samstack.onmicrosoft.com","Karin Sjöberg","Staff","Finance","SMLC-HQ","True","Created",""
"accountant","accountant@samstack.onmicrosoft.com","Viktor Lund","Staff","Finance","SMLC-HQ","True","Created",""
"finance.assistant","finance.assistant@samstack.onmicrosoft.com","Amira Hassan","Staff","Finance","SMLC-HQ","True","Created",""
"it.manager","it.manager@samstack.onmicrosoft.com","Daniel Ekström","Staff","ITInfra","SMLC-HQ","True","Created",""
"netadmin01","netadmin01@samstack.onmicrosoft.com","Jonas Wikström","Staff","ITInfra","SMLC-HQ","True","Created",""
"netadmin02","netadmin02@samstack.onmicrosoft.com","Fatima Ali","Staff","ITInfra","SMLC-HQ","True","Created",""
"sysadmin01","sysadmin01@samstack.onmicrosoft.com","Henrik Larsson","Staff","ITInfra","SMLC-HQ","True","Created",""
"sysadmin02","sysadmin02@samstack.onmicrosoft.com","Linnea Nilsson","Staff","ITInfra","SMLC-HQ","True","Created",""
"security.admin","security.admin@samstack.onmicrosoft.com","Erik Forsberg","Staff","ITInfra","SMLC-HQ","True","Created",""
"sales.manager","sales.manager@samstack.onmicrosoft.com","Isabella Karlsson","Staff","BizOps","SMLC-HQ","False","Created",""
"sales.one","sales.one@samstack.onmicrosoft.com","Noah Pettersson","Staff","BizOps","SMLC-HQ","False","Created",""
"sales.two","sales.two@samstack.onmicrosoft.com","Clara Holm","Staff","BizOps","SMLC-HQ","False","Created",""
"marketing.one","marketing.one@samstack.onmicrosoft.com","Emil Sandberg","Staff","BizOps","SMLC-HQ","False","Created",""
"customer.service.one","customer.service.one@samstack.onmicrosoft.com","Sofia Björk","Staff","BizOps","SMLC-HQ","False","Created",""
"techops.manager","techops.manager@samstack.onmicrosoft.com","Anton Lindholm","Staff","TechOps","SMLC-HQ","False","Created",""
"software.support01","software.support01@samstack.onmicrosoft.com","Lukas Åström","Staff","TechOps","SMLC-HQ","False","Created",""
"software.support02","software.support02@samstack.onmicrosoft.com","Ella Gran","Staff","TechOps","SMLC-HQ","False","Created",""
"software.support03","software.support03@samstack.onmicrosoft.com","Arvid Dahl","Staff","TechOps","SMLC-HQ","False","Created",""
"software.support04","software.support04@samstack.onmicrosoft.com","Freja Månsson","Staff","TechOps","SMLC-HQ","False","Created",""
"software.support05","software.support05@samstack.onmicrosoft.com","Mikael Persson","Staff","TechOps","SMLC-HQ","False","Created",""
"software.support06","software.support06@samstack.onmicrosoft.com","Yasmin Khan","Staff","TechOps","SMLC-HQ","False","Created",""
"software.support07","software.support07@samstack.onmicrosoft.com","Hugo Blom","Staff","TechOps","SMLC-HQ","False","Created",""
"software.support08","software.support08@samstack.onmicrosoft.com","Alva Eklund","Staff","TechOps","SMLC-HQ","False","Created",""
"field.engineer01","field.engineer01@samstack.onmicrosoft.com","Rasmus Löfgren","Staff","TechOps","SMLC-HQ","False","Created",""
"field.engineer02","field.engineer02@samstack.onmicrosoft.com","Alicia Westin","Staff","TechOps","SMLC-HQ","False","Created",""
"field.engineer03","field.engineer03@samstack.onmicrosoft.com","Mateo Nordin","Staff","TechOps","SMLC-HQ","False","Created",""
"field.engineer04","field.engineer04@samstack.onmicrosoft.com","Ida Sund","Staff","TechOps","SMLC-HQ","False","Created",""
"helpdesk01","helpdesk01@samstack.onmicrosoft.com","Elias Vik","Staff","TechOps","SMLC-HQ","False","Created",""
"helpdesk02","helpdesk02@samstack.onmicrosoft.com","Molly Strand","Staff","TechOps","SMLC-HQ","False","Created",""
"helpdesk03","helpdesk03@samstack.onmicrosoft.com","Oscar Wallin","Staff","TechOps","SMLC-HQ","False","Created",""
"br.techops01","br.techops01@samstack.onmicrosoft.com","Malik Rahman","Staff","TechOps","SMLC-BR","False","Created",""
"br.techops02","br.techops02@samstack.onmicrosoft.com","Ebba Rosén","Staff","TechOps","SMLC-BR","False","Created",""
"br.techops03","br.techops03@samstack.onmicrosoft.com","Theo Bäck","Staff","TechOps","SMLC-BR","False","Created",""
"br.fieldops01","br.fieldops01@samstack.onmicrosoft.com","Julia Frisk","Staff","FieldOps","SMLC-BR","False","Created",""
"br.fieldops02","br.fieldops02@samstack.onmicrosoft.com","Adam Kvist","Staff","FieldOps","SMLC-BR","False","Created",""
