"DisplayName","PrimarySmtpAddress","RecipientTypeDetails","ForwardingSmtpAddress","ForwardingAddress"
"Amira Hassan","finance.assistant@samstack.onmicrosoft.com","UserMailbox",,
"Anna Sjöström","anna.sjostrom@samstack.onmicrosoft.com","UserMailbox",,
"Daniel Ekström","it.manager@samstack.onmicrosoft.com","UserMailbox",,
"Discovery Search Mailbox","DiscoverySearchMailbox{D919BA05-46A6-415f-80AD-7E09334BB852}@samstack.onmicrosoft.com","DiscoveryMailbox",,
"Elin Bergström","operations.manager@samstack.onmicrosoft.com","UserMailbox",,
"Erik Forsberg","security.admin@samstack.onmicrosoft.com","UserMailbox",,
"Eva Lindström","eva.lindstrom@samstack.onmicrosoft.com","UserMailbox",,
"Fatima Ali","netadmin02@samstack.onmicrosoft.com","UserMailbox",,
"General Info","info@samstack.onmicrosoft.com","SharedMailbox",,
"Henrik Larsson","sysadmin01@samstack.onmicrosoft.com","UserMailbox",,
"Ingrid Pettersson","ingrid.pettersson@samstack.onmicrosoft.com","UserMailbox",,
"IT Support","itsupport@samstack.onmicrosoft.com","SharedMailbox",,
"Johan Norberg","johan.norberg@samstack.onmicrosoft.com","UserMailbox",,
"Jonas Wikström","netadmin01@samstack.onmicrosoft.com","UserMailbox",,
"Karin Berg","karin.berg@samstack.onmicrosoft.com","UserMailbox",,
"Karin Sjöberg","finance.manager@samstack.onmicrosoft.com","UserMailbox",,
"Lars Andersson","lars.andersson@samstack.onmicrosoft.com","UserMailbox",,
"Leo Andersson","executive.assistant@samstack.onmicrosoft.com","UserMailbox",,
"Linnea Nilsson","sysadmin02@samstack.onmicrosoft.com","UserMailbox",,
"Maja Lindgren","admin.one@samstack.onmicrosoft.com","UserMailbox",,
"Mats Eriksson","mats.eriksson@samstack.onmicrosoft.com","UserMailbox",,
"No Reply","noreply@samstack.onmicrosoft.com","SharedMailbox",,
"Nora Håkansson","hr.two@samstack.onmicrosoft.com","UserMailbox",,
"Oskar Nyström","admin.two@samstack.onmicrosoft.com","UserMailbox",,
"Per Nilsson","per.nilsson@samstack.onmicrosoft.com","UserMailbox",,
"Sam Parsakian","owner@samstack.onmicrosoft.com","UserMailbox",,
"Samuel Parsakian","SamuelParsakian@samstack.onmicrosoft.com","UserMailbox",,
"Sara Johansson","hr.one@samstack.onmicrosoft.com","UserMailbox",,
"Security Alerts","security@samstack.onmicrosoft.com","SharedMailbox",,
"SMLC Finance","finance@samstack.onmicrosoft.com","SharedMailbox",,
"SMLC Help Desk","helpdesk@samstack.onmicrosoft.com","SharedMailbox",,
"SMLC HR","hr@samstack.onmicrosoft.com","SharedMailbox",,
"SMLC Sales","sales@samstack.onmicrosoft.com","SharedMailbox",,
"SMLC Support","support@samstack.onmicrosoft.com","SharedMailbox",,
"Viktor Lund","accountant@samstack.onmicrosoft.com","UserMailbox",,
