"DisplayName","UserPrincipalName","Department","JobTitle","AccountEnabled","UserType","UsageLocation"
"Viktor Lund","accountant@samstack.onmicrosoft.com","Finance","Accountant","True","Member","SE"
"Cloud Reviewer","adm-cloudadmin01@samstack.onmicrosoft.com","ITInfra","Global Reader / Backup Cloud Administrator","True","Member","SE"
"Elias Vik","adm-helpdesk01@samstack.onmicrosoft.com","TechOps","Helpdesk Administrator","True","Member","SE"
"Daniel Ekström","adm-it.manager@samstack.onmicrosoft.com","ITInfra","Privileged Role Administrator","True","Member","SE"
"Jonas Wikström","adm-netadmin01@samstack.onmicrosoft.com","ITInfra","Intune Administrator planned","True","Member","SE"
"Fatima Ali","adm-netadmin02@samstack.onmicrosoft.com","ITInfra","Exchange Administrator","True","Member","SE"
"Erik Forsberg","adm-security.admin@samstack.onmicrosoft.com","ITInfra","Security Administrator","True","Member","SE"
"Henrik Larsson","adm-sysadmin01@samstack.onmicrosoft.com","ITInfra","SharePoint Administrator","True","Member","SE"
"Linnea Nilsson","adm-sysadmin02@samstack.onmicrosoft.com","ITInfra","Teams Administrator","True","Member","SE"
"Maja Lindgren","admin.one@samstack.onmicrosoft.com","MgmtAdmin","Office Administrator","True","Member","SE"
"Oskar Nyström","admin.two@samstack.onmicrosoft.com","MgmtAdmin","Office Administrator","True","Member","SE"
"Anna Sjöström","anna.sjostrom@samstack.onmicrosoft.com","Arkiv","Arkivansvarig","True","Member","SE"
"Tilda Berg","br.bizops01@samstack.onmicrosoft.com","BizOps","Branch Business Operations Coordinator","True","Member","SE"
"Simon Lind","br.bizops02@samstack.onmicrosoft.com","BizOps","Branch Business Operations Coordinator","True","Member","SE"
"Julia Frisk","br.fieldops01@samstack.onmicrosoft.com","FieldOps","Branch Field Engineer","True","Member","SE"
"Adam Kvist","br.fieldops02@samstack.onmicrosoft.com","FieldOps","Branch Field Engineer","True","Member","SE"
"Leila Aziz","br.fieldops03@samstack.onmicrosoft.com","FieldOps","Branch Field Engineer","True","Member","SE"
"Filip Norberg","br.fieldops04@samstack.onmicrosoft.com","FieldOps","Branch Field Engineer","True","Member","SE"
"Meja Hedlund","br.support01@samstack.onmicrosoft.com","Support","Branch Support Technician","True","Member","SE"
"Axel Ek","br.support02@samstack.onmicrosoft.com","Support","Branch Support Technician","False","Member","SE"
"Malik Rahman","br.techops01@samstack.onmicrosoft.com","TechOps","Branch Technical Support Engineer","True","Member","SE"
"Ebba Rosén","br.techops02@samstack.onmicrosoft.com","TechOps","Branch Technical Support Engineer","True","Member","SE"
"Theo Bäck","br.techops03@samstack.onmicrosoft.com","TechOps","Branch Technical Support Engineer","True","Member","SE"
"Recovery Admin One","breakglass01@samstack.onmicrosoft.com","ITInfra","Global Administrator","True","Member","SE"
"Recovery Admin Two","breakglass02@samstack.onmicrosoft.com","ITInfra","Global Administrator","True","Member","SE"
"Sofia Björk","customer.service.one@samstack.onmicrosoft.com","BizOps","Customer Service Representative","True","Member","SE"
"Eva Lindström","eva.lindstrom@samstack.onmicrosoft.com","Styrelse","Ordförande","True","Member","SE"
"Leo Andersson","executive.assistant@samstack.onmicrosoft.com","MgmtAdmin","Executive Assistant","True","Member","SE"
"Rasmus Löfgren","field.engineer01@samstack.onmicrosoft.com","TechOps","Field Support Engineer","True","Member","SE"
"Alicia Westin","field.engineer02@samstack.onmicrosoft.com","TechOps","Field Support Engineer","True","Member","SE"
"Mateo Nordin","field.engineer03@samstack.onmicrosoft.com","TechOps","Field Support Engineer","True","Member","SE"
"Ida Sund","field.engineer04@samstack.onmicrosoft.com","TechOps","Field Support Engineer","True","Member","SE"
"Amira Hassan","finance.assistant@samstack.onmicrosoft.com","Finance","Finance Assistant","True","Member","SE"
"Karin Sjöberg","finance.manager@samstack.onmicrosoft.com","Finance","Finance Manager","True","Member","SE"
"SMLC Finance","finance@samstack.onmicrosoft.com",,,"False","Member",
"SMLC Help Desk","helpdesk@samstack.onmicrosoft.com",,,"False","Member",
"Elias Vik","helpdesk01@samstack.onmicrosoft.com","TechOps","Help Desk Technician","True","Member","SE"
"Molly Strand","helpdesk02@samstack.onmicrosoft.com","TechOps","Help Desk Technician","True","Member","SE"
"Oscar Wallin","helpdesk03@samstack.onmicrosoft.com","TechOps","Help Desk Technician","True","Member","SE"
"Sara Johansson","hr.one@samstack.onmicrosoft.com","MgmtAdmin","HR Coordinator","True","Member","SE"
