"Group","Members"
"SMLC - BizOps","sales.manager@samstack.onmicrosoft.com;sales.one@samstack.onmicrosoft.com;sales.two@samstack.onmicrosoft.com;marketing.one@samstack.onmicrosoft.com;customer.service.one@samstack.onmicrosoft.com;br.bizops01@samstack.onmicrosoft.com;br.bizops02@samstack.onmicrosoft.com"
"Support","techops.manager@samstack.onmicrosoft.com;software.support01@samstack.onmicrosoft.com;software.support02@samstack.onmicrosoft.com;software.support03@samstack.onmicrosoft.com;software.support04@samstack.onmicrosoft.com;software.support05@samstack.onmicrosoft.com;software.support06@samstack.onmicrosoft.com;software.support07@samstack.onmicrosoft.com;software.support08@samstack.onmicrosoft.com;field.engineer01@samstack.onmicrosoft.com;field.engineer02@samstack.onmicrosoft.com;field.engineer03@samstack.onmicrosoft.com;field.engineer04@samstack.onmicrosoft.com;helpdesk01@samstack.onmicrosoft.com;helpdesk02@samstack.onmicrosoft.com;helpdesk03@samstack.onmicrosoft.com;br.techops01@samstack.onmicrosoft.com;br.techops02@samstack.onmicrosoft.com;br.techops03@samstack.onmicrosoft.com;br.support01@samstack.onmicrosoft.com"
"SMLC Help Desk Team","helpdesk01@samstack.onmicrosoft.com;helpdesk02@samstack.onmicrosoft.com;helpdesk03@samstack.onmicrosoft.com"
"SMLC - HQ","owner@samstack.onmicrosoft.com;operations.manager@samstack.onmicrosoft.com;admin.one@samstack.onmicrosoft.com;admin.two@samstack.onmicrosoft.com;hr.one@samstack.onmicrosoft.com;hr.two@samstack.onmicrosoft.com;executive.assistant@samstack.onmicrosoft.com;finance.manager@samstack.onmicrosoft.com;accountant@samstack.onmicrosoft.com;finance.assistant@samstack.onmicrosoft.com;it.manager@samstack.onmicrosoft.com;netadmin01@samstack.onmicrosoft.com;netadmin02@samstack.onmicrosoft.com;sysadmin01@samstack.onmicrosoft.com;sysadmin02@samstack.onmicrosoft.com;security.admin@samstack.onmicrosoft.com;sales.manager@samstack.onmicrosoft.com;sales.one@samstack.onmicrosoft.com;sales.two@samstack.onmicrosoft.com;marketing.one@samstack.onmicrosoft.com;customer.service.one@samstack.onmicrosoft.com;techops.manager@samstack.onmicrosoft.com;software.support01@samstack.onmicrosoft.com;software.support02@samstack.onmicrosoft.com;software.support03@samstack.onmicrosoft.com;software.support04@samstack.onmicrosoft.com;software.support05@samstack.onmicrosoft.com;software.support06@samstack.onmicrosoft.com;software.support07@samstack.onmicrosoft.com;software.support08@samstack.onmicrosoft.com;field.engineer01@samstack.onmicrosoft.com;field.engineer02@samstack.onmicrosoft.com;field.engineer03@samstack.onmicrosoft.com;field.engineer04@samstack.onmicrosoft.com;helpdesk01@samstack.onmicrosoft.com;helpdesk02@samstack.onmicrosoft.com;helpdesk03@samstack.onmicrosoft.com"
"All Staff","owner@samstack.onmicrosoft.com;operations.manager@samstack.onmicrosoft.com;admin.one@samstack.onmicrosoft.com;admin.two@samstack.onmicrosoft.com;hr.one@samstack.onmicrosoft.com;hr.two@samstack.onmicrosoft.com;executive.assistant@samstack.onmicrosoft.com;finance.manager@samstack.onmicrosoft.com;accountant@samstack.onmicrosoft.com;finance.assistant@samstack.onmicrosoft.com;it.manager@samstack.onmicrosoft.com;netadmin01@samstack.onmicrosoft.com;netadmin02@samstack.onmicrosoft.com;sysadmin01@samstack.onmicrosoft.com;sysadmin02@samstack.onmicrosoft.com;security.admin@samstack.onmicrosoft.com;sales.manager@samstack.onmicrosoft.com;sales.one@samstack.onmicrosoft.com;sales.two@samstack.onmicrosoft.com;marketing.one@samstack.onmicrosoft.com;customer.service.one@samstack.onmicrosoft.com;techops.manager@samstack.onmicrosoft.com;software.support01@samstack.onmicrosoft.com;software.support02@samstack.onmicrosoft.com;software.support03@samstack.onmicrosoft.com;software.support04@samstack.onmicrosoft.com;software.support05@samstack.onmicrosoft.com;software.support06@samstack.onmicrosoft.com;software.support07@samstack.onmicrosoft.com;software.support08@samstack.onmicrosoft.com;field.engineer01@samstack.onmicrosoft.com;field.engineer02@samstack.onmicrosoft.com;field.engineer03@samstack.onmicrosoft.com;field.engineer04@samstack.onmicrosoft.com;helpdesk01@samstack.onmicrosoft.com;helpdesk02@samstack.onmicrosoft.com;helpdesk03@samstack.onmicrosoft.com;br.techops01@samstack.onmicrosoft.com;br.techops02@samstack.onmicrosoft.com;br.techops03@samstack.onmicrosoft.com;br.fieldops01@samstack.onmicrosoft.com;br.fieldops02@samstack.onmicrosoft.com;br.fieldops03@samstack.onmicrosoft.com;br.fieldops04@samstack.onmicrosoft.com;br.bizops01@samstack.onmicrosoft.com;br.bizops02@samstack.onmicrosoft.com;br.support01@samstack.onmicrosoft.com"
"Branch Staff","br.techops01@samstack.onmicrosoft.com;br.techops02@samstack.onmicrosoft.com;br.techops03@samstack.onmicrosoft.com;br.fieldops01@samstack.onmicrosoft.com;br.fieldops02@samstack.onmicrosoft.com;br.fieldops03@samstack.onmicrosoft.com;br.fieldops04@samstack.onmicrosoft.com;br.bizops01@samstack.onmicrosoft.com;br.bizops02@samstack.onmicrosoft.com;br.support01@samstack.onmicrosoft.com"
"SG-SMLC-HQ-Staff","owner@samstack.onmicrosoft.com;operations.manager@samstack.onmicrosoft.com;admin.one@samstack.onmicrosoft.com;admin.two@samstack.onmicrosoft.com;hr.one@samstack.onmicrosoft.com;hr.two@samstack.onmicrosoft.com;executive.assistant@samstack.onmicrosoft.com;finance.manager@samstack.onmicrosoft.com;accountant@samstack.onmicrosoft.com;finance.assistant@samstack.onmicrosoft.com;it.manager@samstack.onmicrosoft.com;netadmin01@samstack.onmicrosoft.com;netadmin02@samstack.onmicrosoft.com;sysadmin01@samstack.onmicrosoft.com;sysadmin02@samstack.onmicrosoft.com;security.admin@samstack.onmicrosoft.com;sales.manager@samstack.onmicrosoft.com;sales.one@samstack.onmicrosoft.com;sales.two@samstack.onmicrosoft.com;marketing.one@samstack.onmicrosoft.com;customer.service.one@samstack.onmicrosoft.com;techops.manager@samstack.onmicrosoft.com;software.support01@samstack.onmicrosoft.com;software.support02@samstack.onmicrosoft.com;software.support03@samstack.onmicrosoft.com;software.support04@samstack.onmicrosoft.com;software.support05@samstack.onmicrosoft.com;software.support06@samstack.onmicrosoft.com;software.support07@samstack.onmicrosoft.com;software.support08@samstack.onmicrosoft.com;field.engineer01@samstack.onmicrosoft.com;field.engineer02@samstack.onmicrosoft.com;field.engineer03@samstack.onmicrosoft.com;field.engineer04@samstack.onmicrosoft.com;helpdesk01@samstack.onmicrosoft.com;helpdesk02@samstack.onmicrosoft.com;helpdesk03@samstack.onmicrosoft.com"
"SMLC-Support","br.support01@samstack.onmicrosoft.com"
"SG-SMLC-Finance-Private","finance.manager@samstack.onmicrosoft.com;accountant@samstack.onmicrosoft.com;finance.assistant@samstack.onmicrosoft.com"
"SMLC - TechOps","techops.manager@samstack.onmicrosoft.com;software.support01@samstack.onmicrosoft.com;software.support02@samstack.onmicrosoft.com;software.support03@samstack.onmicrosoft.com;software.support04@samstack.onmicrosoft.com;software.support05@samstack.onmicrosoft.com;software.support06@samstack.onmicrosoft.com;software.support07@samstack.onmicrosoft.com;software.support08@samstack.onmicrosoft.com;field.engineer01@samstack.onmicrosoft.com;field.engineer02@samstack.onmicrosoft.com;field.engineer03@samstack.onmicrosoft.com;field.engineer04@samstack.onmicrosoft.com;helpdesk01@samstack.onmicrosoft.com;helpdesk02@samstack.onmicrosoft.com;helpdesk03@samstack.onmicrosoft.com;br.techops01@samstack.onmicrosoft.com;br.techops02@samstack.onmicrosoft.com;br.techops03@samstack.onmicrosoft.com;br.fieldops01@samstack.onmicrosoft.com;br.fieldops02@samstack.onmicrosoft.com;br.fieldops03@samstack.onmicrosoft.com;br.fieldops04@samstack.onmicrosoft.com;br.support01@samstack.onmicrosoft.com;new.techops01@samstack.onmicrosoft.com"
